Iteration;Stock price;Amount available
930;140.2428707596;21068
931;137.4718700630;21069
932;158.5649522148;21075
933;135.3111217723;21075
934;116.2223032013;21075
935;124.2169594686;21076
936;106.0954384055;21076
937;128.8655206064;21075
938;157.1346369369;21074
939;195.0483919593;21072
940;177.5220338511;21072
941;140.6144617702;21072
942;143.1659184347;21083
943;128.7190323339;21083
944;100.6496609377;21083
945;123.5059085375;21082
946;105.6048489115;21082
947;116.1415784143;21083
948;145.4722090913;21072
949;162.4570192155;21074
950;139.6385917497;21074
951;119.6398785837;21074
952;131.7731389960;21079
953;110.6933703693;21079
954;94.6403600045;21079
955;111.7999107564;21080
956;95.0203543612;21080
957;114.1520336830;21079
958;137.5256875621;21076
959;165.9922922271;21073
960;141.7922957295;21073
961;121.2322348284;21073
962;135.1410824183;21137
963;115.1342392552;21137
964;102.4019021373;21137
965;123.8540402019;21136
966;98.9147302136;21136
967;108.8062039372;21137
968;130.6496808561;21136
969;143.7015459545;21139
970;114.9909255461;21139
971;98.3172761036;21139
972;113.7947324547;21141
973;97.0959354559;21141
974;81.7140995447;21141
975;89.8833389684;21152
976;78.3375937608;21152
977;94.1541583003;21150
978;113.1628788859;21148
979;137.4111615437;21145
980;119.5370314559;21145
981;100.2289033220;21145
982;109.3103776832;21150
983;98.7497737648;21150
984;75.1186248956;21150
985;90.6997547253;21138
986;83.2748279413;21138
987;92.8629902017;21140
988;118.2392678751;21136
989;121.9482290952;21139
990;101.7310756289;21139
991;90.5227529557;21139
992;102.3516160870;21140
993;82.5088955899;21140
994;70.5452231065;21140
995;83.0011424185;21152
996;69.9922026089;21152
997;84.1220216796;21150
998;101.0305434777;21149
999;111.2671287531;21147
1000;91.9074793041;21147
1001;79.4620163860;21147
1002;90.6481881364;21167
1003;81.6494117128;21167
1004;74.9101344344;21167
1005;90.7828141590;21155
1006;74.1546071657;21155
1007;81.5732559074;21157
1008;68.7409262339;21157
1009;76.3602056517;21194
1010;65.3417012158;21194
1011;55.8507095035;21194
1012;68.9666032922;21167
1013;59.0628045529;21167
1014;50.4918073129;21167
1015;59.8933316305;21184
1016;52.9534594491;21184
1017;69.7531852334;21181
1018;65.4253338935;21181
1019;80.5769254844;21142
1020;66.4103213711;21142
1021;56.8833000886;21142
1022;60.7278387278;21169
1023;50.5481590207;21169
1024;43.3781276484;21169
1025;52.8190013376;21150
1026;48.9393320334;21150
1027;53.3719676443;21153
1028;45.6329321246;21153
1029;46.8143192940;21192
1030;40.2260402894;21192
1031;36.0284814732;21192
1032;44.5351463857;21149
1033;35.8832566508;21149
1034;36.7856419748;21188
1035;40.5851853422;21206
1036;44.6320429531;21205
1037;53.6960869406;21202
1038;48.8135822992;21202
1039;55.2114472811;21166
1040;43.0022416253;21166
1041;37.4980970647;21166
1042;40.6016715335;21209
1043;34.0845410491;21209
1044;42.1494381473;21168
1045;52.2825699169;21153
1046;45.8198673317;21153
1047;48.1914103297;21156
1048;36.7245869796;21156
1049;40.4475485803;21189
1050;36.9095866051;21189
1051;31.2857776213;21189
1052;41.2014001787;21137
1053;34.7557525085;21137
1054;40.6429000615;21178
1055;45.5851374985;21193
1056;40.5249023381;21193
1057;43.8568340426;21265
1058;48.4873464774;21276
1059;59.3881029425;21254
1060;50.9637134081;21254
1061;43.5880419884;21254
1062;34.7761912182;21254
1063;38.4763993337;21300
1064;46.5286428717;21263
1065;51.5446496673;21250
1066;39.9632531937;21250
1067;50.6293563970;21177
1068;58.9722154193;21167
1069;71.6827203776;21165
1070;61.2870853921;21165
1071;52.3987934101;21165
1072;45.0645929936;21165
1073;56.6243527298;21129
1074;45.8325621980;21129
1075;50.7647634246;21142
1076;46.4544417403;21142
1077;55.8643066774;21139
1078;49.8025602712;21139
1079;59.3181180292;21160
1080;50.3883267040;21160
1081;43.4880172529;21160
1082;35.2776556785;21160
1083;37.1255113937;21197
1084;39.8683845568;21234
1085;47.7318531890;21219
1086;44.9865187036;21219
1087;50.2186712537;21299
1088;59.5862987978;21309
1089;72.3310297824;21293
1090;62.4759077561;21293
1091;60.0172464325;21293
1092;47.5225262093;21293
1093;56.3275318575;21266
1094;68.5212369208;21241
1095;77.5901761490;21240
1096;64.4135441673;21240
1097;82.3529460067;21184
1098;91.7395200266;21178
1099;109.6632731498;21174
1100;96.0651756536;21174
1101;91.8498050915;21174
1102;74.7942988358;21174
1103;60.2797961790;21174
1104;71.5528964876;21199
1105;78.6367173789;21200
1106;74.9761868899;21200
1107;60.1862512637;21200
1108;66.2048764562;21207
1109;72.8244931237;21232
1110;60.4872303399;21232
1111;51.5983418777;21232
1112;43.4692990215;21232
1113;47.6879633197;21259
1114;58.4540399890;21229
1115;63.5848778486;21228
1116;48.5034546843;21228
1117;59.3552476122;21284
1118;68.1353061492;21276
1119;83.2179921604;21252
1120;70.9049353021;21252
1121;59.4387034314;21252
1122;50.7253611845;21252
1123;60.3663574389;21229
1124;78.0710479202;21228
1125;67.2155713805;21228
1126;73.8582378780;21286
1127;87.8317985281;21249
1128;75.6732183372;21249
1129;83.2448162904;21264
1130;69.5027489560;21264
1131;59.4617846394;21264
1132;50.8127688518;21264
1133;55.7982886167;21287
1134;53.9213775724;21288
1135;59.5833643945;21290
1136;76.1777938882;21248
1137;86.3159950031;21285
1138;67.6527521862;21285
1139;76.9036746408;21277
1140;65.8638714015;21277
1141;52.3746186701;21277
1142;44.6373421008;21277
1143;58.1704555949;21250
1144;69.8015717022;21249
